src_ip,src_port,dst_ip,dst_port,protocol,flow_duration,pkt_count_fwd,pkt_count_bwd,pkt_count_total,byte_count_fwd,byte_count_bwd,byte_count_total,mean_iat,min_iat,max_iat,std_iat,mean_pkt_size,min_pkt_size,max_pkt_size,bytes_per_pkt,pkt_rate,byte_rate,fwd_bwd_pkt_ratio,fwd_bwd_byte_ratio,syn_count,ack_count,fin_count,rst_count,psh_count,label
10.0.0.10,80,246.35.139.98,18253,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,1,0,0,fin
10.0.0.10,80,110.5.213.126,27850,UDP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,0,0,udp
10.0.0.10,80,124.10.153.144,24010,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,1,0,rst
10.0.0.10,80,207.80.105.109,53962,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,1,0,0,1,psh_ack
10.0.0.10,80,101.253.234.195,27221,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,1,0,0,fin
10.0.0.10,80,110.81.24.56,30458,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,1,0,0,fin
10.0.0.10,80,63.250.16.136,50691,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,1,0,0,fin
10.0.0.10,0,173.128.183.59,0,ICMP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,0,0,icmp
10.0.0.10,80,57.155.11.27,26698,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,1,0,rst
10.0.0.10,80,47.130.254.114,5242,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,1,0,rst
10.0.0.10,80,70.128.48.247,65257,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,1,0,0,fin
10.0.0.10,0,225.117.30.161,0,ICMP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,0,0,icmp
10.0.0.10,80,179.53.248.131,42530,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,1,0,0,0,icmp
10.0.0.10,0,192.177.29.208,0,ICMP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,0,0,icmp
